token,count
"S",1634
"Essential hypertension",1295
"Primary hypertension",1280
"ASHD (arteriosclerotic heart disease)",1037
"Cardiac and Vasculature: Essential hypertension",880
"without long-term current use of insulin",794
"Hypertension",760
"Pure hypercholesterolemia",565
"Paroxysmal atrial fibrillation",561
"Cardiac and Vasculature: Primary hypertension",550
"Cardiac and Vasculature: ASHD (arteriosclerotic heart disease)",522
"bilateral",474
"right",427
"left",426
"P PTCA (percutaneous transluminal coronary angioplasty)",409
"Mental Health: Anxiety",394
"Palpitations",392
"adult",362
"Cardiac and Vasculature: Hypertension",355
"Gastrointestinal and Abdominal: GERD (gastroesophageal reflux disease)",340
"Ischemic cardiomyopathy",326
"Chest pain",317
"History of coronary angioplasty with insertion of stent",294
"Endocrine and Metabolic: Hypothyroidism",291
"Gastrointestinal and Abdominal: Gastroesophageal reflux disease without esophagitis",284
"Cardiac pacemaker in situ",284
"Atrial fibrillation",280
"NSTEMI (non-ST elevated myocardial infarction)",271
"PAF (paroxysmal atrial fibrillation)",257
"with long-term current use of insulin",256
"Vitamin D deficiency",245
"Hypercholesteremia",243
"Dyslipidemia",240
"Sleep: OSA on CPAP",235
"PAD (peripheral artery disease) (CMS-hcc)",220
"P CABG (coronary artery bypass graft)",219
"Bradycardia",214
"Endocrine and Metabolic: Acquired hypothyroidism",213
"LBBB (left bundle branch block)",213
"Endocrine and Metabolic: Prediabetes",205
"Sinus bradycardia",205
"Persistent atrial fibrillation",202
"Venous insufficiency",201
"Symptoms and Signs: Syncope",199
"Tobacco: Former smoker",194
"Bilateral carotid artery stenosis",193
"Hematology and Neoplasia: Anemia",190
"unspecified",186
"both eyes",185
"Symptoms and Signs: Dizziness",179
"H",176
"Musculoskeletal and Injuries: Arthritis",174
"Cardiomyopathy",172
"Other chest pain",171
"PVC (premature ventricular contraction)",170
"AKI (acute kidney injury)",169
"PVC's (premature ventricular contractions)",168
"Pulmonary and Pneumonias: Shortness of breath",165
"initial encounter",164
"Carotid stenosis",164
"On statin therapy",161
"Arthritis",159
"Allergies and Adverse Reactions: Statin intolerance",158
"Symptoms and Signs: Fatigue",156
"Cardiac and Vasculature: Paroxysmal atrial fibrillation",154
"Hypothyroidism",153
"Nonischemic cardiomyopathy",152
"Cardiac and Vasculature: Palpitations",150
"HFrEF (heart failure with reduced ejection fraction)",146
"Prediabetes",144
"Coag and Thromboembolic: Thrombocytopenia",142
"Presence of Watchman left atrial appendage closure device",140
"Ischemic heart disease",139
"Urinary retention",137
"Status post placement of implantable loop recorder",136
"Chronic systolic heart failure",135
"Endocrine and Metabolic: Hyperglycemia",132
"Hx of CABG",132
"Endocrine and Metabolic: Diabetes mellitus",131
"Mental Health: Depression",127
"RBBB",126
"Preop cardiovascular exam",126
"Fall",125
"HTN (hypertension)",123
"Cardiac and Vasculature: Atrial fibrillation",122
"Endocrine and Metabolic: Vitamin D deficiency",122
"Infectious Disease: COVID-19",121
"Hypomagnesemia",121
"Cardiac and Vasculature: Chest pain",121
"Hypokalemia",117
"ICD (implantable cardioverter-defibrillator) in place",117
"Hypercholesterolemia",117
"Gastrointestinal and Abdominal: Gastroesophageal reflux disease",116
"Endocrine and Metabolic: DM (diabetes mellitus)",114
"Nonrheumatic aortic valve stenosis",114
"Tobacco: Tobacco use",114
"NSVT (nonsustained ventricular tachycardia)",112
"Gastroesophageal reflux disease without esophagitis",111
"Coronary atherosclerosis",110
"Pulmonary and Pneumonias: SOB (shortness of breath)",110
"Hyponatremia",109
"Aortic stenosis",109
"Abnormal electrocardiogram",108
"Elevated troponin",108
"GERD (gastroesophageal reflux disease)",106
"AV block",106
"P drug eluting coronary stent placement",106
"Sleep: Insomnia",105
"SVT (supraventricular tachycardia) (HHS-HCC)",105
"Primary osteoarthritis of right knee",104
"Anemia",103
