token,count
"Mixed hyperlipidemia",5163
"Essential hypertension",1760
"Atherosclerosis of native coronary artery of native heart without angina pectoris",1678
"Dyspnea on exertion",1582
"Paroxysmal atrial fibrillation",1108
"Hypertensive heart disease without heart failure",1040
"Nonrheumatic mitral valve regurgitation",1009
"Cardiac and Vasculature: Essential hypertension",959
"without long-term current use of insulin",929
"Endocrine and Metabolic: Type 2 diabetes mellitus without complication",914
"Hyperlipidemia",912
"Hypertension",890
"Pulmonary and Pneumonias: Shortness of breath",837
"Pulmonary and Pneumonias: Dyspnea",822
"Palpitations",801
"Cardiac and Vasculature: Dyspnea on exertion",748
"S",742
"Hypertensive heart disease without congestive heart failure",739
"Cardiac and Vasculature: Atherosclerosis of native coronary artery of native heart without angina pectoris",723
"Venous insufficiency",720
"Family history of ischemic heart disease",676
"Dyslipidemia",659
"Primary hypertension",632
"Essential (primary) hypertension",537
"Nonrheumatic mitral (valve) insufficiency",536
"Sleep: OSA (obstructive sleep apnea)",529
"Cardiac and Vasculature: Mixed hyperlipidemia",524
"Chest pain",506
"unspecified",481
"Cardiac and Vasculature: Paroxysmal atrial fibrillation",476
"Mental Health: Anxiety",468
"PAD (peripheral artery disease) (CMS-hcc)",461
"Endocrine and Metabolic: Obesity",446
"bilateral",441
"Nonrheumatic aortic valve insufficiency",432
"Ischemic cardiomyopathy",392
"Sick sinus syndrome",386
"Bradycardia",386
"Tobacco: Tobacco abuse",384
"right",383
"Symptoms and Signs: Edema",379
"Tobacco: Tobacco use",378
"with long-term current use of insulin",377
"Sleep: Obstructive sleep apnea syndrome",372
"Cardiomyopathy",362
"Endocrine and Metabolic: Hypothyroidism",354
"Gastrointestinal and Abdominal: Gastroesophageal reflux disease without esophagitis",349
"Abnormal EKG",333
"Coronary artery disease involving native coronary artery of native heart without angina pectoris",331
"left",330
"Obesity",326
"Nonrheumatic mitral valve insufficiency",315
"Hypertensive heart disease without HF (heart failure)",314
"Symptoms and Signs: Syncope",307
"essential",297
"benign",297
"Hematology and Neoplasia: Anemia",295
"Gastrointestinal and Abdominal: GERD (gastroesophageal reflux disease)",295
"Symptoms and Signs: Dizziness",294
"Vitamin D deficiency",290
"Diastolic dysfunction",287
"Right bundle branch block",281
"Cardiac and Vasculature: Primary hypertension",277
"Cardiac and Vasculature: Hypertension",273
"Hematology and Neoplasia: Cancer",271
"Nonrheumatic aortic valve stenosis",254
"Tobacco: Former tobacco use",253
"HTN (hypertension)",249
"Symptoms and Signs: Localized edema",248
"SVT (supraventricular tachycardia) (HHS-HCC)",243
"Other chest pain",241
"Musculoskeletal and Injuries: Arthritis",238
"Genitourinary and Reproductive: CKD (chronic kidney disease)",238
"Cardiac and Vasculature: Palpitations",237
"Gastrointestinal and Abdominal: Gastroesophageal reflux disease",225
"adult",223
"Non-rheumatic tricuspid valve insufficiency",223
"Dilated cardiomyopathy",222
"Sleep: Sleep apnea",221
"Murmur",220
"Bilateral carotid artery stenosis",219
"cardiac",214
"Pulmonary and Pneumonias: COPD (chronic obstructive pulmonary disease)",213
"Nonrheumatic aortic (valve) insufficiency",211
"Endocrine and Metabolic: Diabetes",211
"Type 2 diabetes mellitus without complication",211
"Hypercholesteremia",210
"Mixed dyslipidemia",208
"Abnormal ECG",207
"Symptoms and Signs: Fatigue",206
"NSTEMI (non-ST elevated myocardial infarction)",205
"o ang pctrs",193
"Sleep: Obstructive sleep apnea (adult) (pediatric)",192
"Cardiac and Vasculature: Chest pain",192
"Atrial fibrillation",188
"Hypothyroidism",188
"Neuro: TIA (transient ischemic attack)",185
"Thoracic aortic ectasia (CMS-hcc)",183
"Other secondary pulmonary hypertension",179
"Cardiac and Vasculature: Hyperlipidemia",179
"initial encounter",179
"CAD (coronary artery disease)",176
"Endocrine and Metabolic: Prediabetes",176
"Pure hypercholesterolemia",169
"PVC (premature ventricular contraction)",165
"Benign essential hypertension",165
"Family History: Pre-operative clearance",164
"Endocrine and Metabolic: Type 2 diabetes mellitus",162
"Abnormal stress test",160
"PVD (peripheral vascular disease)",159
"Pulmonary and Pneumonias: Asthma (HHS-HCC)",158
"Cardiac and Vasculature: Essential (primary) hypertension",156
"Neuro: Stroke",155
"Coag and Thromboembolic: Thrombocytopenia",154
"Arthritis",153
"Gastroesophageal reflux disease",152
"Peripheral vascular disease (CMS-hcc)",150
"Pulmonary and Pneumonias: Other secondary pulmonary hypertension",148
"Mental Health: Depression",148
"Permanent atrial fibrillation",148
"Mitral valve insufficiency",148
"PVC's (premature ventricular contractions)",147
"Endocrine and Metabolic: Vitamin D deficiency",147
"Endocrine and Metabolic: Thyroid disorder",147
"Shortness of breath",146
"Cardiac and Vasculature: HTN (hypertension)",145
