token,matched_cause,icd_code,match_method,method,notes
,Type 2 Diabetes,E11.2,,llm,ambiguous
'11,,,none,,
(HFpEF) heart failure with preserved ejection fraction,,,none,,
** Mixed hyperlipidemia,Hyperlipidemia,E78.5,cause_name,,
** type 2 diabetes mellitus associated with polyneuropathy (CMS-hcc),Type 2 Diabetes,E11.2,cause_name,,
...,,,none,,
000 per cubic millimeter,,,none,,
01,,,none,,
03,,,none,,
05,,,none,,
06,,,none,,
06-14-2017,,,none,,
1,,,none,,
1 episode on event monitor,,,none,,
1 in 2019,,,none,,
1 in 4,,,none,,
1 occurrence in the setting of sepsis,,,none,,
1-19% 2012-17,,,none,,
1-19% 2014-19,,,none,,
1-19% 2015,,,none,,
1-19% 2016,,,none,,
1-19% 2019,,,none,,
1-4 drinks per day,,,none,,
1.73 square meter and albuminuria creatinine ratio greater than 300 mg,,,none,,
1.73 square meter and albuminuria creatinine ratio less than 30 mg,,,none,,
10,,,none,,
100% CTO,,,none,,
11,,,none,,
11-3-14,,,none,,
12,,,none,,
13,,,none,,
14,,,none,,
15,,,none,,
15 with DVT,,,none,,
153 in 2011 & 1486 in 2018,,,none,,
15: normal. needs repeat 10-15 years,,,none,,
16,,,none,,
16 DES post Dilated to 3.0 w,,,none,,
16 EF 35-40% with mild to moderate MR and TR,,,none,,
16 EF 60-65%,,,none,,
16 EF 60-65% and negative for ischemia,,,none,,
16 labs,,,none,,
16 mild CAD,,,none,,
16 mild nonobstructive CAD,,,none,,
16 negative for ischemia with EF 57%,,,none,,
17,,,none,,
17 3.5 x 16 mm synergy proximal LAD,,,none,,
17 bike vs car,,,none,,
17 EF 45-50%,,,none,,
17 mid to distal RCA using 2 overlapping xience stents measuring 2.5 x 28 mm (distal) and 3.0 x 28 mm (mid),,,none,,
17 persantine cardiolite negative for ischemia with EF 68%,,,none,,
17 surgery sling,,,none,,
17),,,none,,
17) removed and exchanged on 1,,,none,,
18,,,none,,
18 - no significant CAD,,,none,,
18 coronary CTA...,,,none,,
18 EF 55-60% with no significant valvular disease,,,none,,
18 EF 60-65%,,,none,,
18 negative,,,none,,
18 normal coronary arteries,,,none,,
18 persantine cardiolite negative for ischemia with preserved EF,,,none,,
18 proximal LAD using a 3.5 x 24 mm synergy everolimus,,,none,,
18 status post PCI,,,none,,
19,,,none,,
19 (done at HFH-Macomb),,,none,,
19 EF 65%,,,none,,
19 given nonfunctioning LIMA,,,none,,
19 proximal LAD using a 3.0 x 20 mm synergy everolimus,,,none,,
19-negative,,,none,,
1964,,,none,,
1983,,,none,,
1986,,,none,,
1987 and 1992,,,none,,
1992,,,none,,
1995,,,none,,
1996,,,none,,
1997,,,none,,
1998,,,none,,
1st degree,,,none,,
1st degree AV block,,,none,,
2,,,none,,
2 above,,,none,,
2 adverse side effect of medication,,,none,,
2 bicuspid AV,,,none,,
2 carpal tunnel syndrome,,,none,,
2 CKD,,,none,,
2 deep antral ulcer with visible vessel s,,,none,,
2 des in svg to om,,,none,,
2 Diverticulosis,,,none,,
2 fall at home,,,none,,
2 falls,,,none,,
2 hypercapnia,,,none,,
2 hypertension,,,none,,
2 hypertensive emergency,,,none,,
2 ICM (CMS-hcc),,,none,,
2 leg weakness likely due to spinal stenosis,,,none,,
2 lung disease.,,,none,,
2 MVA,,,none,,
2 MVA and gluteal artery bleeding s,,,none,,
2 negative,,,none,,
2 negative via a 37 multigene panel test,,,none,,
2 negative via panel from Ambry Genetics,,,none,,
2 pack a day or less,,,none,,
2 Proteus sp,,,none,,
2 spironoactone,,,none,,
2 stents in lad  2010,,,none,,
2 to CKD,,,none,,
2 ureteral stent (urinary tract infection),,,none,,
2...,,,none,,
20,,,none,,
20  mid RCA using a 4.0 x 24 mm synergy,,,none,,
20 to 25 %,,,none,,
20-49% 2016,,,none,,
20-49% 2016-18,,,none,,
20-49% 2016-19,,,none,,
20-49% 2017,,,none,,
20-49% 2018,,,none,,
2003. most recent colonoscopy in 12,,,none,,
2004,,,none,,
2005,,,none,,
2005),,,none,,
2006,,,none,,
2006 and 10,,,none,,
2006),,,none,,
2007,,,none,,
2008,,,none,,
2009,,,none,,
2010,,,none,,
2011,,,none,,
2011 in Texas,,,none,,
2011),,,none,,
2012,,,none,,
2012 showed stability,,,none,,
2013,,,none,,
2013),,,none,,
2014,,,none,,
2014 with Dr. Chudler,,,none,,
2014),,,none,,
2015,,,none,,
2015 ~ Dr. Scott),,,none,,
2015),,,none,,
2015. Compromised diagonal branch,,,none,,
2016,,,none,,
2016 & 2021,,,none,,
2016 showed tubular adenoma.  5 yr. f,,,none,,
2016),,,none,,
2016-19,,,none,,
2016.,,,none,,
2017,,,none,,
2017 labs. NEEDS REPEAT,,,none,,
2017 to LCX and high OM,,,none,,
2017),,,none,,
2017-19,,,none,,
2018,,,none,,
2018 R=73% +thrombus L=66%,,,none,,
